fecha,trm
2025-08-09,4034.74
2025-08-09,4034.74
2025-08-09,4034.74
2025-07-30,4154.79
2025-07-31,4179.69
2025-08-01,4186.71
2025-07-29,4170.59
2025-08-05,4097.38
2025-08-06,4093.12
2025-08-07,4049.35
2025-08-09,4034.74
2025-08-09,4034.74
2025-07-30,4154.79
2025-07-31,4179.69
2025-08-01,4186.71
2025-07-29,4170.59
2025-08-05,4097.38
2025-08-06,4093.12
2025-08-07,4049.35
2025-08-09,4034.74
2025-07-30,4154.79
2025-07-31,4179.69
2025-08-01,4186.71
2025-07-29,4170.59
2025-08-05,4097.38
2025-08-06,4093.12
2025-08-07,4049.35
2025-08-09,4034.74
2025-07-30,4154.79
2025-07-31,4179.69
2025-08-01,4186.71
2025-07-29,4170.59
2025-08-05,4097.38
2025-08-06,4093.12
2025-08-07,4049.35
2025-08-09,4034.74
2025-07-30,4154.79
2025-07-31,4179.69
2025-08-01,4186.71
2025-07-29,4170.59
2025-08-05,4097.38
2025-08-06,4093.12
2025-08-07,4049.35
2025-08-09,4034.74
2025-08-09,4034.74
2025-08-09,4034.74
2025-08-09,4034.74
2025-08-09,4034.74
2025-08-09,4034.74
2025-08-09,4034.74
2025-07-30,4154.79
2025-07-31,4179.69
2025-08-01,4186.71
2025-07-29,4170.59
2025-08-05,4097.38
2025-08-06,4093.12
2025-08-07,4049.35
